,track_id,track_name,artist_name,genre_id,genre_names,lyrics,lyrics_source
0,206436336,Paubaya,Moira Dela Torre,[20],['Alternative'],"Saan nagsimulang magbago ang lahat
Kailan nung ako'y 'di na naging sapat
Ba't di mo sinabi nung una pa lang
Ako ang kailangan, pero 'di ang mahal
Saan nagkulang ang aking pagmamahal
Lahat ay binigay nang mapangiti ka lang
Ba't 'di ko nakita na ayaw mo na
Ako ang kasama, pero hanap mo siya

At kung masaya ka sa piling niya
Hindi ko na pipilit pa
Ang tanging hiling ko lang sa kanya
'Wag kang paluhain
At alagaan ka niya

Saan natigil ang pagiging totoo
Sa tuwing mababanggit na mahal mo ako
Ba't 'di mo inamin na merong iba
Ako ang kayakap, pero isip mo siya

At kung masaya ka sa piling niya
Hindi ko na pipilit pa
Ang tanging hiling ko lang sakanya
'Wag kang paluhain, at alagaan ka niya

Ba't 'di ko naisip na merong hanggan
Ako yung nauna, pero siya ang wakas

At kita naman sa 'yong mga mata
Kung bakit pinili mo siya
Mahirap labanan ang tinadhana
Pinapaubaya
Pinapaubaya

Pinapaubaya ko na sa Kanya",
1,152025019,Buwan,Juan Karlos Labajo,[20],['Alternative'],"Ako'y sayo, ikaw ay akin
Ganda mo sa paningin
Ako ngayo'y nag-iisa
Sana ay tabihan na

Sa ilalim ng puting ilaw
Sa dilaw na buwan
Pakinggan mo ang aking sigaw
Sa dilaw na buwan

Ayokong mabuhay nang malungkot
Ikaw ang nagpapasaya
At makakasama hanggang sa pagtanda
Halina tayo'y humiga (san kaya?)

Sa ilalim ng puting ilaw
Sa dilaw na buwan
Pakinggan mo ang aking sigaw
Sa dilaw na buwan

Ang iyong ganda umaabot sa buwan
Ang tibok ng puso'y dinig sa kalawakan
At bumalik dito sa akin
Ikaw ang mahal
Ikaw lang ang mamahalin
Pakinggan ang puso't damdamin
Damdamin aking damdamin

Sa ilalim ng puting ilaw
Sa dilaw na buwan
Pakinggan mo ang aking sigaw
Sa dilaw na buwan

Sa ilalim ng puting ilaw
Sa dilaw na buwan
Pakinggan mo ang aking sigaw
Sa dilaw na buwan

(Lalalalala)
(Lalalalala)
(Pakinggan, pakinggan mo)
(Pakinggan mo aking sigaw)",
2,88489270,Tadhana,Up Dharma Down,[20],['Alternative'],"Sa hindi inaaasahang
Pagtatagpo ng mga mundo
May minsan lang na nagdugtong
Damang dama na ang ugong nito
Di pa ba sapat ang sakit at lahat
Na hinding hindi ko ipararanas sa'yo
Ibinubunyag ka ng iyong matang
Sumisigaw ng pag-sinta
Ba't di papatulan
Ang pagsuyong nagkulang
Tayong umaasang
Hilaga't kanluran
Ikaw ang hantungan
At bilang kanlungan mo
Ako ang sasagip sa'yo
Saan nga ba patungo
Nakayapak at nahihiwagaan
Ang bagyo ng tadhana ay
Dinadala ako sa init ng bisig mo
Ba't di pa sabihin
Ang hindi mo maamin
Ipauubaya na lang ba 'to sa hangin
'Wag mong ikatakot
Ang bulong ng damdamin mo
Naririto ako't nakikinig sa'yo
Whoo... oohh... ho... ooohh...
Whoo... oohh... ho... ooohh...
Whoo... oohh... ho... ooohh...
Whoo... ohhh...
Lalalala...",
3,78880323,Orange,Parokya Ni Edgar,"[1133, 20]","['Pop/Rock', 'Alternative']","Gusto kong kumain ng lemon,
Kahit ano, kahit melon
O kaya naman dalandan,
Samahan mo pa ng buko and pandan

Chorus:

Ngunit ang gusto ko talaga ay ang orange na dala mo sa iyong bulsa mukha kasing masarap,
Patikim naman ng aking pangarap.,

Gusto kong kumain ng gulay kahit na ano kahit petchay
Pede rin namn fresh na sitaw,
O kamatis na sa mata ay pamplinaw

Chorus:

Ngunit ang gusto ko talaga ay ang orange na dala mo sa iyong bulsa mukha kasing masarap patikim naman, patikim naman, patikim nman ng aking pangarap.

_09^^_",
4,170029087,Pagtingin,Ben&Ben,"[20, 14]","['Alternative', 'Pop']","Dami pang gustong sabihin
Ngunit wag nalang muna
Hintayin nalang ang hangin
Tangayin yung salita
Wag mo, akong sisihin
Mahirap ang tumaya
Dagat ko'y sisisirin
Kahit walang mapala
Pag nilahad ang damdamin
Sana di magbago pagtingin
Ani nila'y ""manalig""
Sana di magbago pagtingin

Bakit laging ganito
Kailangang magka ilangan
Ako ay nalilito
Wooh. wooh. wooh
Wag mong akong sisihin
Mahirap ang tumaya
Dagat ang sisirin
Kahit walang mapala
Pag nilahad ang damdamin
Sana'y di magbago pagtingin
Ani nila'y ""manalig""
Sana'y di magbago pagtingin
Pahiwatig
Sana di magbago pagtingin
Pahiwatig
Sana di magbago pagtingin
Iibig lang kapag handa na
Hindi nalang kung trip trip lang naman
Iibig lang kapag handa na
Hindi nalang kung trip trip lang naman
Pag nilahad ang damdamin sana'y di magbago pagtingin
Ani nila'y ""manalig""
Sana di magbago pagtingin
Sige ka lang manalangin
Sana di magbago pagtingin
Baka bukas ikaw akin
Sana di magbago pagtingin
Pahiwatig
sana di magbago pagtingin
Pahiwatig
sana di magbago pagtingin

End—",
5,170029098,Araw-Araw,Ben&Ben,"[20, 14]","['Alternative', 'Pop']","Umaga na sa ating duyan
'Wag nang mawawala
Umaga na sa ating duyan
Magmamahal, o mahiwaga

Matang magkakilala
Sa unang pagtagpo
Paano dahan-dahang
Sinuyo ang puso
'Kay tagal ko nang nag-iisa
Andyan ka lang pala

Mahiwaga
Pipiliin ka sa araw-araw
Mahiwaga
Ang nadarama sa 'yo'y malinaw

Higit pa sa ligaya
Hatid sa damdamin
Lahat naunawaan
Sa lalim ng tingin

Mahiwaga
Pipiliin ka sa araw-araw
Mahiwaga
Ang nadarama sa 'yo'y malinaw

Sa minsang pagbaling ng hangin
Hinila patungo sa akin
Na tanging ika'y i-ibiging wagas at buo
Payapa sa yakap ng iyong hiwaga
Payapa sa yakap ng iyong

Mahiwaga
Pipiliin ka sa araw-araw
Mahiwaga
Ang nadarama sa 'yo'y malinaw

Mahiwaga
'Wag nang mawala sa araw-araw
Mahiwaga
Pipiliin ka araw-araw",
6,173544860,"Patawad, Paalam",Moira Dela Torre feat. I Belong to the Zoo,[20],['Alternative'],"Nakatulong ba nung lumayo ako
'Di ba 'yon naman ang 'yong ginusto
Simula pa no'n, kahit hanggang ngayon
Lahat ng daan ay pabalik sa'yo

Balang araw ay makikita mong
'Di kailangan lumayo
Kung paglisan lang ang paraan
Patawad
Paalam
Kahit nasa'n ka man

Nariyan pa ba ang pinangarap ko
Na aking tinalikuran para mabuo
Bakit ganon kahit sa'n lumingon
Lahat ng daan ay pabalik sa'yo

Balang araw ay makikita mong
'Di kailangan lumayo
Kung paglisan lang ang paraan
Patawad
Paalam
Kahit nasa'n ka man

Oooh oooh oooh

Nahanap nga sarili mo
Nawala naman ako
Masisisi mo pa ba
Kung ako'y susuko na

Hindi mo man mapakinggan
Ang aking mga dahilan
Maitatanggi mo bang
Mahal na mahal kita

Sa aking paglayag
Tiyak ika'y masasaktan
Hangad ko'y maintindihan
'Di maintindihan

Na sa tamang panahon
Hinding-hindi na iiwan
Kung 'yong pagbibigyan muli
'Di kayang pagbigyan muli
Kahit anong gawin
'Di na mababalik ang dati

Paalam, salamat
Salamat sa lahat

Balang araw ay makikita mo
'Di na/ka sana lumayo
Kung paglisan lang ang dahilan
Sa ating hangganan
Ikaw pa rin sana",
7,190045916,Sa Paghimig Mo,December Avenue,[20],['Alternative'],"Sa paghimig mo’y natutunaw ang lahat
Hindi na baleng masayang basta’t mapagmasdan
Hinahanap ko ang iyong pag-ngiti
Natutunang masanay na ika’y mahalin
Damhin ang aking lambing
Yayakapin ka sa’yong paghimbing
Abot langit ang pagsamo
Sayo’y hindi magbabago
Damdamin at ang aking mundo’y iikot lamang sa’yo
Dinggin mo ang pag-amin kong
Puso’y na-gimbal na lamang sa pag-himig mo
Sa pag-titig mo’y napapawi ang kaba
Nahuhulog na lamang sa iyong kagandahang
‘di mapantayan ng kahit na sino man
Natutunang masanay na ika’y mahalin
Damhin ang aking lambing
Yayakapin ka sa’yong paghimbing
Abot langit ang pagsamo
Sayo’y hindi magbabago
Damdamin at ang aking mundo’y iikot lamang sa’yo
Dinggin mo ang pag-amin kong
Puso’y na-gimbal na lamang sa pag-himig mo
At sa muling pag-lipas ng umaga
Ako’y mananabik sa’yong iniwang ala-ala
Pagbangon mo’y karipas ang bilis
Hindi na marinig ang pag-himig mo
Damdamin at ang aking mundo’y iikot lamang sa’yo
Dinggin mo ang pag-amin kong
Puso’y na-gimbal na lamang sa pag-himig mo
Puso’y na-gimbal na lamang sa pag-himig mo",
8,183388141,Paalam,Moira Dela Torre feat. Ben&Ben,"[34, 20]","['Music', 'Alternative']","Pag-asa nasaan ka
Ba't sumama sa paglisan niya
Kung babawiin ang mga nasabi
Babalik ba sa'king tabi?

Ohhh...
Ohhh...

Saan ba magsisimula
Kung ako'y umaasa pa
Naniniwala sa'yong pangako
Na hinding-hindi susuko

Ba't 'di man lang nagpaalam
O 'di lang ikaw yung nasaktan
Hindi pa ba sapat
Nung binigay ko ang lahat
Paalam

Pagbigyan ang aking tugon
'Wag iwan sa imahinasyon
Kahit na huling sulyap na lamang
Malaman lang na 'di nagkulang

Ba't 'di man lang nagpaalam
O 'di lang ikaw yung nasaktan
Hindi pa ba sapat
Nung binigay ko ang lahat

Ba't 'di man lang pinaalam
O 'di lang ikaw yung nasaktan
Hindi pa ba sapat
Nung binigay ko ang lahat
Paalam
Paalam
Paalam
Paalam

Paalam
Sa ating nakaraan
Paalam
Sa mga pinagsisihan
Paalam
Sa aking nadarama
Paalam
Kaya ko na ng wala ka

Paalam
Sa naging pagmamahalan
Paalam
Sa mga pangakong naiwanan
Paalam
Wala na 'kong pagsisisihan
At sa wakas ay kakalimutan

At kahit 'di nagpaalam
'Di bale na kung nasaktan
Ika'y naging sapat
Kahit tinapon ang lahat
Paalam",
9,194285897,Patawad,Moira Dela Torre,[20],['Alternative'],"Verse 1
Paano nalimutan ang lahat
Na kahit konti, walang pasabi
Paanong nalimutang banggitin
Na nagbago na ang pagtingin
(Oh, oh)
Chorus
Wala narin naman kahit na balikan
Wala na ang tamis nung ika'y nahagkan
At sa huling paalam naintindihan
Na sa ating dalawa
May ibang nakalaan
Verse 2
Paanong burahin ang sandaling
Naiguhit sa panaginip
Kung sa pag gising ko ikaw parin
Ang nasa isip, hindi maitanggi
(Oh, oh)
Chorus
Wala narin naman kahit na balikan
Wala na ang tamis nung ika'y nahagkan
At sa huling paalam naintindihan
Na sa ating dalawa
May ibang nakalaan
Bridge (Instrumental)
Patawad, paalam
Patawad, paalam
Chrous 2
Patawad kung ikaw ay aking nasaktan
Hindi ko nabigay ang iyong kailangan
At ang huling pangakong maibibigay
Na sa ating dalawa
Ay wala nang sisihan
Patawad, paalam
Sating nakaraan",
10,137418455,The Cadet Leaps,King Krule,[20],['Alternative'],"Above and beyond on the rooftop
The space cadet walks through the sky
Lost in the search for distant forms of life
Lucifer's dream
No one could hold me down

Dumudulas sa dumi
Malungkot pero napapalibutan
Bagong lugar, para ba langgam
Anim na paa, sa ilalim ng buwan
Sumibol ang maninipsip ng dugo
Inipit ng mga laman-loob
Nakaupo sa malaking usok
Naisip ng lalake ang babae
Ikaw at ako, laban sa mga linta ng siyudad
Paraiso ng mga linta
Paraiso ng mga linta",
11,194285894,E.D.S.A. - Emosyong Dinaan Sa Awit,Moira Dela Torre,[20],['Alternative'],"O, kay tagal na
Kong nag-aantay
Kahit malayo
Na ang nilakbay
Nandirito parin ako hanggang ngayon
Bitag ng lahat ng emosyon
Paano nga ba kumawala?

Paano lumaban kung suko ka na?
Paano umibig kung ayaw mo na?
Ika'y nanatili sa aking tabi
At pinaalala mo saakin
Nandito ka parin
...

",MusixMatch
12,195946626,Ikaw Pa Rin,Moira Dela Torre,[20],['Alternative'],"

Alam kong ako yung lumayo
Walang karapatang magreklamo
Ngunit bumabalik pa rin
Ang nakaraang parang kahapon
Paumanhin
'Di ko sinadya
Na lumisan na lang

Kung papayagan mong tayo'y bumalik
Sa huling tagpuan natin
'Di papalampasin ang pagkakataong sabihing
""Pagtapos ng lahat, ikaw pa rin
Lumisan ang lahat, ikaw pa rin""

Alam kong nagkulang sa iyo
Sana patawarin kung natakot
Paano magpakalayo
Kung ang pag-ibig ko'y 'di maitago
Paumanhin
'Di ko magawang
Kalimutan na nalang

Kung papayagan mong tayo'y bumalik
Sa huling tagpuan natin
'Di papalampasin ang pagkakataong sabihing
Pagtapos ng lahat, ikaw pa rin
Kita ko pa sa'yong mga mata
May pag-asa pa tayong dalawa
At kung sa huli, 'di rin maibalik
Patawarin sana

Kung papayagan mong ikaw ay mahalin
Mula sa tagpuan natin
'Di papalampasin ang pagkakataong sabihing
Lumisan ang lahat, ikaw pa rin
Kahit sa paalam, ikaw pa rin
",
